Region,Year,Index,N,M,Tag,Std,Error,L,U
Northern,2019,PrevUt,144322,0.002608681841678953,All,19.37802976715343,1.3426940984155865e-4,0.0023489142334502016,0.0028755144745776806
Northern,2019,PrevAsym,144322,0.001546988888084235,All,14.930476970231263,1.0345253648252701e-4,0.0013442164049833013,0.0017530244869112125
Northern,2019,PrevSym,144322,5.034669947602307e-4,All,8.522017426607986,5.9048637259793974e-5,3.8802123030445807e-4,6.236055487035934e-4
Northern,2019,PrevExCS,144322,5.582259588344875e-4,All,8.973255471379765,6.217524335430334e-5,4.3652388409251536e-4,6.859661035739527e-4
Northern,2019,PrAsym,377,0.5930155465369398,All,9.538775432654749,0.02530179159855371,0.5437665782493368,0.6419098143236074
Northern,2019,PrSym,377,0.19299670305375313,All,7.66272561334273,0.020325532130882572,0.15384615384615385,0.23342175066312998
Northern,2019,PrExCS,377,0.21398775040930712,All,7.963056347451953,0.02112216537785664,0.1724137931034483,0.2572944297082228
Northern,2019,TBLikeUt,105582,0.051505745689446304,All,71.81912902796222,6.802213353408936e-4,0.05017900778541797,0.052840446288193066
Northern,2019,PrCSIPub,144322,0.4301824657585725,All,188.08775646019117,0.0013032507619087262,0.4276271115976774,0.4327406770970469
Northern,2019,PrTxiPub,84,0.5859778543269146,All,4.514316772169244,0.053741866335348144,0.47619047619047616,0.6904761904761905
Northern,2018,TxI,641063,0.8594631104899206,Pub,278.2653589891642,0.34754319472104633,0.8586114001276005,0.8603132609431522
Northern,2018,TxI,210706,0.7720995130655985,Pri,192.55185955323836,0.4194780745038579,0.7703055442180099,0.7738887359638549
Northern,2019,TxI,677509,0.9538987673964479,Pub,172.60960025694013,0.20970433699851163,0.9533984050396378,0.954397653758105
Northern,2019,TxI,286669,0.8529767780959923,Pri,189.60593942809857,0.35412906421949136,0.8516791142397678,0.8542709536085171
Northern,2020,TxI,543626,0.919238594180558,Pub,200.893631653428,0.2724683488948935,0.9185138312001265,0.9199615176610391
Northern,2020,TxI,201732,0.9516239367081077,Pri,96.36855295341127,0.21455959496669239,0.950687050145738,0.9525558661987191
Northern,2021,TxI,610355,0,Pub,0,0,0,0
Northern,2021,TxI,267672,0,Pri,0,0,0,0
Northern,2018,TxSucc,468619,0.7542011740881185,Pub,294.74296673290445,0.43055982521854275,0.7529677627240893,0.7554324515224521
Northern,2018,TxSucc,116595,0.18962219649213088,Pri,133.85306443169495,0.3920020651599052,0.18737510184827824,0.1918778678330975
Northern,2018,TxDie,468619,0.033728892767898866,Pub,123.58349857853429,0.18053048097357532,0.03321248178157522,0.03424743768391807
Northern,2018,TxDie,116595,0.0015781122689652214,Pri,13.55395246201308,0.03969410322241533,0.0013551181440027446,0.0018096830910416398
Northern,2019,TxSucc,617192,0.8289948670753996,Pub,295.7948702322927,0.3765134492126943,0.8280551270917316,0.8299329868177163
Northern,2019,TxSucc,180063,0.6516330395472696,Pri,202.177242301702,0.4764529581371661,0.6494338092778639,0.6538322698166753
Northern,2019,TxDie,617192,0.03577978975748228,Pub,145.92078297071163,0.18574066975865208,0.0353164007310529,0.03624317878391165
Northern,2019,TxDie,180063,0.018038131098559947,Pri,56.4748807009973,0.13308928178118296,0.01742723380150281,0.018654582007408518
Northern,2020,TxSucc,675778,0.8180497145512283,Pub,317.15257653342496,0.38580354984613896,0.8171292939397258,0.8189686553868282
Northern,2020,TxSucc,260881,0.7805321200087396,Pri,211.3985963319066,0.4138861312527905,0.7789413564038776,0.7821190504482887
Northern,2020,TxDie,675778,0.03452613136266644,Pub,150.08809514097467,0.1825762241251427,0.034091077247261674,0.034962665253973936
Northern,2020,TxDie,260881,0.037289032164090144,Pri,96.77423363224185,0.1894691538070395,0.036564563919948175,0.038017333573545024
Northern,2021,TxSucc,525015,0.8177099701913279,Pub,279.74798068468886,0.38608337809471366,0.816664285782311,0.8187537498928602
Northern,2021,TxSucc,199635,0.8088461442131891,Pri,175.6882970186674,0.39320994291173,0.8071179903323565,0.810569288952338
Northern,2021,TxDie,525015,0.03793224955477462,Pub,138.41813194129108,0.19103244226698493,0.0374160738264621,0.0384503299905717
Northern,2021,TxDie,199635,0.04423573020762892,Pri,91.87140069976309,0.20561840963451397,0.04333408470458587,0.04513737571067197
Northern,2018,DrugTime,411414813.9825973,0.0011849354554856186,All,0.034395070297525726,1.6957281848629384e-6,0.0011816118282432873,0.00118825908272795
Northern,2019,DrugTime,418021589.3083546,9.717201464931171e-4,All,0.03115032505941916,1.523572856887327e-6,9.68733943693618e-4,9.747063492926163e-4
Northern,2020,DrugTime,422813794.62087846,7.471374018987622e-4,All,0.027321990283832996,1.328733114393059e-6,7.445330849945519e-4,7.497417188029726e-4
Northern,2021,DrugTime,429795381.05807483,7.847920542320191e-4,All,0.02799046018072669,1.3501411270964512e-6,7.821457776229101e-4,7.874383308411282e-4
