Location,Delay_Pat_Mu,Delay_Pat_M,Delay_Pat_L,Delay_Pat_U,Delay_Sym_Mu,Delay_Sym_M,Delay_Sym_L,Delay_Sym_U,Delay_Tot_Mu,Delay_Tot_M,Delay_Tot_L,Delay_Tot_U
Andhra_Pradesh,3.0472812891575307,2.9798905669453264,1.644260854633561,4.877527407581325,0.7670830855722715,0.7467210853759971,0.26290511459008564,1.3625500657558072,3.8143643747298017,3.761869996775828,2.308796361398348,5.696838432812204
Arunachal_Pradesh,3.2055271184382788,3.108071729227497,1.4243037066916169,5.519601896346817,1.0471644861615856,1.03083883003857,0.2737313032364022,1.9262667376683733,4.252691604599864,4.171163908132973,2.3147873025115304,6.627875172681137
Assam,5.386477405839372,5.261326037712478,2.640606771943317,8.754534612529355,1.645055117865089,1.6350674773884943,0.4206018973590072,2.9118502890160363,7.031532523704461,6.907427229942067,3.954611590961263,10.521158140807229
Bihar,7.778766644224765,7.700567541956689,4.985152598245186,10.934500270454308,1.2703524150850738,1.2430141396032797,0.30796899147287926,2.3728542973968563,9.049119059309838,9.010699264298003,6.091807797295824,12.205419938884685
Chandigarh,1.493051308031018,1.328587006700416,0.30928676941105215,3.5327607709967928,0.3130090175056288,0.28296756047106825,0.056911748365535295,0.7422818611544012,1.8060603255366465,1.6664005647302316,0.5573446706642239,3.877150408176985
Chhattisgarh,2.5000015482680937,2.3550950357510727,0.8615705044865516,4.892998617590113,0.4601222895349413,0.4088596452720341,0.08100089759369491,1.1194236281189611,2.9601238378030352,2.8245204666174835,1.241101263376419,5.4325179179352565
Delhi,2.546475529301602,2.4665485597140133,1.0665513972677108,4.523187079598621,0.3817192934208224,0.35398117712479826,0.058790679890960776,0.8475840885003891,2.9281948227224244,2.831960985757381,1.3854263256913268,4.952701806993051
Gujarat,0.8951115279205735,0.8036117928217585,0.1948689946672308,2.148849881454744,0.35166970214402143,0.32411131526882797,0.07148327067401916,0.7794435528209092,1.2467812300645948,1.1659387299402673,0.453395352649128,2.5128635158257695
Haryana,5.626056716763454,5.431130688057545,2.297944814009318,9.903752108369195,0.5974551913881503,0.5069657300212177,0.06063200408947168,1.587562652154522,6.223511908151605,6.066136508620829,2.8173017086487824,10.604894552308076
Himachal_Pradesh,0.6964447051947208,0.5814254737093028,0.08627967804721562,1.961105127684335,0.6834795515349483,0.6517696713701709,0.2124400702206306,1.3503023188656833,1.379924256729669,1.2807223784631492,0.5212833836497774,2.779052679252244
India,3.1446951044440103,3.139329836240036,2.736506870325083,3.5860551632308373,0.7910949245191845,0.8261715926640356,0.287881778969462,1.0371782575352246,3.9357900289631944,3.9509585421704485,3.305716182535943,4.4679769167125745
Jammu_and_Kashmir,2.2782525680788552,1.9915438992265164,0.33488988305610323,5.932705143797869,1.7152183683345035,1.6807271722665882,0.3701116458431519,3.2107111647878135,3.993470936413359,3.7471912054383187,1.3498005916027456,7.910515238075192
Jharkhand,5.944563778561475,5.838020013529285,3.298899989127072,9.173231231164468,0.5715226708652245,0.50534195570291,0.09292832646302043,1.382414614433864,6.516086449426699,6.439397139304656,3.7982656620016906,9.792626564876242
Karnataka,10.748788542189857,10.649868811019537,6.5737475018012415,15.53148202697814,2.4165719465626463,2.4113369621937806,0.7512785644935693,4.011341527250968,13.165360488752503,13.04897642532353,8.949130586288673,17.97938476161889
Kerala,2.4496603028730934,2.098782828718318,0.33262010145047877,6.417856848390465,1.1201733755757175,1.0181368934018147,0.19277124069113272,2.61679615556529,3.569833678448811,3.284637679086554,1.0698108394140142,7.578159699873016
Madhya_Pradesh,1.50996001496411,1.4606686227375516,0.7107325639022521,2.55896954428492,0.17527734195062375,0.1597711381162437,0.03725668445073684,0.4069835713086254,1.6852373569147339,1.6332701345523384,0.883184910753843,2.7766642639869596
Maharashtra,1.1403152873906843,1.101033654866432,0.5535563468506761,1.945845155628488,0.3047666110163083,0.29346651770348664,0.09009732745428994,0.5649191245917404,1.4450818984069924,1.4188461655284161,0.7981118422928668,2.2940153267851144
Manipur,6.788073826449574,6.628754181706965,3.2509761199860274,11.254217401866386,1.861459988106567,1.8588419350482897,0.34758684385524913,3.453608325728272,8.649533814556143,8.486987281399223,4.763303334979415,13.251739241781287
Meghalaya,4.1431753619719425,4.020026702873083,1.9106112789274503,6.992773313755127,1.203509464191125,1.187701683503846,0.35923613493740125,2.152555664913087,5.346684826163067,5.231924893770808,2.9358064839983893,8.20840511678534
Nagaland,3.301878221982494,3.19191534443451,1.5357125066042823,5.627244904728875,1.102579892091398,1.080783091015367,0.36082150557137005,1.9530442746305072,4.4044581140738925,4.317983350391604,2.4115616498862815,6.824668693257722
Odisha,0.8023458534736292,0.7225699500843563,0.16740106336824395,1.8974568833213994,0.44225405302332776,0.4184681351966664,0.12371163919657303,0.9044669852242779,1.2445999064969568,1.1781004101609809,0.47530087642639673,2.365213498715934
Punjab,2.109550622584913,1.913651815214337,0.468486997755603,4.787963812962595,0.6303322651371347,0.567608204950349,0.12154974192584664,1.463454104448323,2.7398828877220476,2.557227481386988,0.9372189899170398,5.576449438658797
Rajasthan,2.6998098264123147,2.6287774490244473,1.3595845806103666,4.4462636151355115,1.5542110281024606,1.5686687042127936,0.5851237284918098,2.426641289096446,4.254020854514776,4.196674414802384,2.6093032706503347,6.229171336890004
Tamil_Nadu,8.041465231002574,7.960591604054265,5.599544900775503,10.889793046368824,1.6459175065367426,1.648427244466302,0.5387232143716627,2.657676324503437,9.687382737539318,9.631935380022101,7.001800169011179,12.745121453846435
Telangana,4.594698278254301,4.480979541943274,2.3631536778369524,7.440709436610182,1.8761760784933608,1.8655706107088463,0.765851631396131,3.04853568908882,6.470874356747662,6.381693666078656,3.9212300585225197,9.435826800002491
Uttar_Pradesh,4.310125888840145,4.268595965170654,3.019782341869762,5.823232992318365,1.1252013585544012,1.1467752009324457,0.29251972070133153,1.7545835374882042,5.435327247394546,5.411822323021513,3.8494763565589127,7.116283238866422
Uttarakhand,1.5928600480022344,1.3640792277854583,0.22591114872963583,4.193864309285686,1.2983059802022445,1.2601100838566177,0.2866126910742926,2.514166325698532,2.891166028204479,2.7333324656037865,1.0487812491136292,5.673766198410375
West_Bengal,2.9697681979945285,2.8366818680301304,1.048250999418427,5.706843221312395,0.7170543599103943,0.67019811535829,0.15184742973297172,1.56900894130673,3.6868225579049225,3.5511108605613337,1.6729250850604487,6.487266162954825
